customer_id,city,state,country
89055,Oran Park,New South Wales,Australia
89240,Cary,NC,United States
89049,Fitchburg,Wisconsin,United States
89687,Singapore,Singapore,Singapore
89770,Ventura,CA,United States
89859,Greenville,KY,United States
89851,Austin,TX,United States
90079,Muang,Chiangmai,Thailand
90019,Sanford,FL,United States
90151,Olney,MD,United States
90170,Van Nuys,CA,United States
90009,Kent,WA,United States
90050,Santa Monica,CA - California,United States
90090,Bridgeport,Connecticut,United States
90520,Agege,lagos state,Australia
90495,Streamwood,Illinois,United States
90470,Worthing,West Sussex,United Kingdom
90700,Pretoria,Gauteng,South Africa
91020,Rockford,IL,United States
91147,Caledon East,ON,Canada
91107,Charlottesville,Virginia,United States
91299,Colorado Springs,CO,United States
91005,Hamburg,Hamburg,Germany
91407,Yorkton,SK,Canada
91479,Perth,WA,Australia
91429,Bellingham,MA,United States
91489,Oklahoma City,OK,United States
91820,Pasadena,TX,United States
91799,Frederiksberg,-,Denmark
91865,Arcadia,California,United States
91907,Washington,DC,United States
92665,Caledon East,Ontario,Canada
92717,Cordoba,veracruz,United States
92845,New York,NY,United Kingdom
92879,Berlin,Berlin,Germany
90101,Rutherford,nj,United States
90180,Duluth,Mn,United States
90491,Spring Hill,FL,United States
90895,Franklin,Tennessee,United States
94005,Chicago,Illinois,United States
94047,Muang,phuket,Thailand
94220,Park Ridge,IL,United States
94249,Dubai,Dubai,United Arab Emirates
94019,Blue bell,pa,United States
94000,Howard beach,New York,United States
94075,Mumbai,Maharashtra,India
94760,Fort Wayne,IN,United States
94810,Gijzegem,Oost-Vlaanderen,Belgium
94801,Southsea,Hampshire,United Kingdom
95115,London,London,United Kingdom
95145,Omaha,NE,United States
95211,Hoschton,GA,United States
95261,Etterbeek,Brussels,United Kingdom
95409,Kuala Lumpur,Wilayah Persekutuan,Malaysia
95529,Congerville,IL,United States
95677,London,England,United Kingdom
95975,Brussels,Brussels,Belgium
96097,Indianapolis,IN,United States
96065,Northampton,Northamptonshire,United Kingdom
96049,Houston,TX,United States
96575,Flushing,NY,United States
96645,Falkirk,Stirlingshire,United Kingdom
96900,Quezon City,Metro Manila,Philippines
96920,Miami,fl,United States
97091,Terrigal,NSW,Australia
97229,Sunnyvale,CA,United States
97289,Buff Point,NSW,Australia
97815,Melbourne,Victoria,Australia
97900,Barrington,IL,United States
98140,Granada Hills,California,United States
98065,Woodbury,MN,United States
98087,New York,NY,United States
98421,Unionville,CT,United States
98669,Celje,Celje,Slovenia
98845,Tanjong Sepat,Other,New Zealand
98869,Esperance,WA,Australia
98951,Ladysmith,BC,Canada
98955,Lima,Li,Peru
99515,Vila do Conde,Porto,Portugal
99705,Wesley Chapel,Florida,United States
99651,Mableton,GA,United States
99761,Sausar,madhya pradesh (india),United States
180,Honolulu,Hawaii,United States
197,Parsippany,NJ,United States
597,Towson,maryland,United States
589,Antioch,TN,United States
580,Lavon,Texas,United States
609,Jersey City,NJ,United States
657,Dunedin,Otago,New Zealand
